day,shift,zone,temperature,pressure,equipment_load,human_exposure,fatigue_factor,maintenance_delay,noise_level,dust_concentration,ventilation_effectiveness,ppe_compliance_rate,incident_probability,incident_occurred,lost_hours,severity,man_hours,is_recordable,season,day_of_week
1,1,Coke_Oven,1137.2535614758424,0.09308678494144078,0.9400936522649093,22.569089569224076,0.42843971524957825,18.595178258304916,94.31685126202956,16.151152093729362,0.6518315368439029,0.8453524017434386,0.00027400230798464134,False,0.0,None,176,False,0,1
1,2,Coke_Oven,1057.1464875684394,0.05379585811264476,0.6614730762219428,19.95110904719071,0.6660435151869962,10.856744014304834,86.28781574329506,13.88638974432124,0.6377993718975556,0.7219151737569505,0.0005283653114323491,False,0.0,None,152,False,0,1
1,3,Coke_Oven,1105.0646153515943,0.028762590689327162,0.8375748521161174,16.5327677691296,0.3037632435648118,22.254188110074033,85.59744524032477,14.562459375310084,0.6438976032662362,0.8573661273803574,0.00019185907253244696,False,0.0,None,128,False,0,1
1,1,Sinter_Plant,1315.3128277502383,1.198341641303962,0.7858663033477766,14.973372283140309,0.22722932293692974,18.91396518960952,103.11325216620976,19.790459586423477,0.7331182989632318,0.8783004415579445,0.00015545737181231803,False,0.0,None,112,False,0,1
1,2,Sinter_Plant,1342.4828616447644,1.1096688913232133,0.6554351096864456,11.500389479013228,0.38164158797058584,18.757050017985122,93.37447315827384,15.355439766955898,0.7394450381636877,0.8110967087833474,0.00016668631905919756,False,0.0,None,88,False,0,1
1,3,Sinter_Plant,1387.8379816563474,1.4663245378780072,0.9280786028905144,14.48749449311184,0.45208384669634316,11.19435172256768,85.96738684181007,19.64947046367723,0.7093360727237606,0.7852896676525479,0.00023343583559967985,False,0.0,None,112,False,0,1
1,1,Blast_Furnace,1564.6889202316809,3.274684009999788,0.8770611860976733,18.508832244730062,0.4904051756885361,14.129281472369254,99.44558242203365,14.307054849698954,0.7378504376534029,0.9249957462325601,0.0001606742661227858,False,0.0,None,144,False,0,1
1,2,Blast_Furnace,1498.074888549164,2.7786975693838385,0.7356684855598538,17.80622904334855,0.6345140641057633,18.114001986372898,95.86233418530598,9.757419193778496,0.6926445002781247,0.8752484513508489,0.00019882631186623722,False,0.0,None,136,False,0,1
1,3,Blast_Furnace,1475.5328518408746,2.624385034745412,0.9389112972116335,15.221877774149212,0.38026701720768863,21.079604598680138,98.38831019739216,13.452967485799334,0.6978768143673588,0.8070285141360892,0.0002032440157009168,False,0.0,None,120,False,0,1
1,1,BOF,1727.31801290628,3.068621298128471,0.5957112889126456,12.760139476555286,0.3726936676191122,11.69888414588526,106.81174530613404,13.750908637473401,0.7228963298056853,0.8008974026721706,0.00018762536797485197,False,0.0,None,96,False,0,1
